Name,Divisor,0x00,0x01
C0,7262,0x5E,0x-4
C0_#,6855,0xC7,0x-2
D0,6470,0x46,0x-1
D0_#,6104,0xD8,0x-7
E0,5764,0x84,0x-6
F0,5439,0x3F,0x-5
F0_#,5135,0x0F,0x-4
G0,4846,0xEE,0x-2
G0_#,4573,0xDD,0x-1
A0,4317,0xDD,0x-0
A0_#,4074,0xEA,0x-7
B0,3846,0x06,0x-7
C1,3630,0x2E,0x-6
C1_#,3426,0x62,0x-5
D1,3234,0xA2,0x-4
D1_#,3052,0xEC,0x-3
E1,2881,0x41,0x-3
F1,2720,0xA0,0x-2
F1_#,2567,0x07,0x-2
G1,2422,0x76,0x-1
G1_#,2287,0xEF,0x-0
A1,2158,0x6E,0x-0
A1_#,2037,0xF5,0x-7
B1,1922,0x82,0x-7
C2,1814,0x16,0x-7
C2_#,1713,0xB1,0x-6
D2,1616,0x50,0x-6
D2_#,1526,0xF6,0x-5
E2,1440,0xA0,0x-5
F2,1359,0x4F,0x-5
F2_#,1283,0x03,0x-5
G2,1211,0xBB,0x-4
G2_#,1143,0x77,0x-4
A2,1079,0x37,0x-4
A2_#,1018,0xFA,0x-3
B2,961,0xC1,0x-3
C3,907,0x8B,0x-3
C3_#,856,0x58,0x-3
D3,808,0x28,0x-3
D3_#,762,0xFA,0x-2
E3,720,0xD0,0x-2
F3,679,0xA7,0x-2
F3_#,641,0x81,0x-2
G3,605,0x5D,0x-2
G3_#,571,0x3B,0x-2
A3,539,0x1B,0x-2
A3_#,508,0xFC,0x-1
B3,480,0xE0,0x-1
C4,453,0xC5,0x-1
C4_#,427,0xAB,0x-1
D4,403,0x93,0x-1
D4_#,381,0x7D,0x-1
E4,359,0x67,0x-1
F4,339,0x53,0x-1
F4_#,320,0x40,0x-1
G4,302,0x2E,0x-1
G4_#,285,0x1D,0x-1
A4,269,0x0D,0x-1
A4_#,254,0xFE,0x-0
B4,239,0xEF,0x-0
C5,226,0xE2,0x-0
C5_#,213,0xD5,0x-0
D5,201,0xC9,0x-0
D5_#,190,0xBE,0x-0
E5,179,0xB3,0x-0
F5,169,0xA9,0x-0
F5_#,159,0x9F,0x-0
G5,150,0x96,0x-0
G5_#,142,0x8E,0x-0
A5,134,0x86,0x-0
A5_#,126,0x7E,0x-0
B5,119,0x77,0x-0
C6,112,0x70,0x-0
C6_#,106,0x6A,0x-0
D6,100,0x64,0x-0
D6_#,94,0x5E,0x-0
E6,89,0x59,0x-0
F6,84,0x54,0x-0
F6_#,79,0x4F,0x-0
G6,75,0x4B,0x-0
G6_#,70,0x46,0x-0
A6,66,0x42,0x-0
A6_#,63,0x3F,0x-0
B6,59,0x3B,0x-0
C7,56,0x38,0x-0
C7_#,53,0x35,0x-0
D7,50,0x32,0x-0
D7_#,47,0x2F,0x-0
E7,44,0x2C,0x-0
F7,42,0x2A,0x-0
F7_#,39,0x27,0x-0
G7,37,0x25,0x-0
G7_#,35,0x23,0x-0
A7,33,0x21,0x-0
A7_#,31,0x1F,0x-0
B7,29,0x1D,0x-0
C8,27,0x1B,0x-0
C8_#,26,0x1A,0x-0
D8,24,0x18,0x-0
D8_#,23,0x17,0x-0
E8,22,0x16,0x-0
F8,20,0x14,0x-0
F8_#,19,0x13,0x-0
G8,18,0x12,0x-0
G8_#,17,0x11,0x-0
A8,16,0x10,0x-0
A8_#,15,0x0F,0x-0
B8,14,0x0E,0x-0
